Nombre Tabla|Tipo|Campos|Descripcion|Resultado|Estado de Migracion|Notas
#DisponiblePorAlmacenSReglaTres|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes secundarios segun Regla 3 (VTASCReglasEcommerce IdReglasEcommerce=3).|Valida articulos CALZADO con existencia segun parametros de la regla 3.|Migrado|Implementado en EcommerceMethods.cs
#DisponiblePorAlmacenSReglaCuatro|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes secundarios segun Regla 4 (VTASCReglasEcommerce IdReglasEcommerce=4).|Valida articulos MUEBLES o ClaveMES=52 con existencia segun parametros de la regla 4.|Migrado|Implementado en EcommerceMethods.cs
#DisponiblePorAlmacenSReglaCinco|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes secundarios segun Regla 5 (VTASCReglasEcommerce IdReglasEcommerce=5).|Valida articulos BLOQUEADO con -Q- en descripcion segun parametros de la regla 5.|Migrado|Implementado en EcommerceMethods.cs
#DisponiblePorAlmacenSReglaSeis|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes secundarios segun Regla 6 (VTASCReglasEcommerce IdReglasEcommerce=6).|Valida articulos BLOQUEADO sin -Q- en descripcion segun parametros de la regla 6.|Migrado|Implementado en EcommerceMethods.cs
#DisponiblePorAlmacenSReglaUnoRespaldo|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes de respaldo segun Regla 1.|Capa de respaldo para la regla 1 en almacenes de respaldo.|Migrado|Implementado en EcommerceMethods.cs
#DisponiblePorAlmacenSReglaDosRespaldo|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes de respaldo segun Regla 2.|Capa de respaldo para la regla 2 en almacenes de respaldo.|Migrado|Implementado en EcommerceMethods.cs
#DisponiblePorAlmacenSReglaTresRespaldo|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes de respaldo segun Regla 3.|Capa de respaldo para la regla 3 en almacenes de respaldo.|Migrado|Implementado en EcommerceMethods.cs
#DisponiblePorAlmacenSReglaCuatroRespaldo|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes de respaldo segun Regla 4.|Capa de respaldo para la regla 4 en almacenes de respaldo.|Migrado|Implementado en EcommerceMethods.cs
#DisponiblePorAlmacenSReglaCincoRespaldo|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes de respaldo segun Regla 5.|Capa de respaldo para la regla 5 en almacenes de respaldo.|Migrado|Implementado en EcommerceMethods.cs
#DisponiblePorAlmacenSReglaSeisRespaldo|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes de respaldo segun Regla 6.|Capa de respaldo para la regla 6 en almacenes de respaldo.|Migrado|Implementado en EcommerceMethods.cs
#DisponiblePorAlmacenSReglaSieteRespaldo|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(10); Disponible INT; Almacen VARCHAR(10)|Disponibilidad en almacenes de respaldo segun Regla 7.|Capa de respaldo para la regla 7 (OUTLET) en almacenes de respaldo.|Migrado|Implementado en EcommerceMethods.cs
#articulos|TEMPORAL (SELECT INTO)|Articulo; Descripcion1; NombreCorto; Nombrelargoe; Familia; Linea; MarcaE; Estatus; existencia; Volumetrico; MetaPalabras1E; MetaDescripcion1E; exclusivoweb|Articulos que cumplen TODAS las reglas de existencia combinadas. Se genera desde #Listadoarticulos JOIN con tablas de almacenes y reglas. La existencia se ajusta: si IE o MAYORISTA se pone 200; si no tiene existencia se pone 0. exclusivoweb=1 si es IE o MAYORISTA. Se eliminan los que no tienen foto optimizada (ecommerceactualizarimagenes + SCM_Art_imagen con Orden=1).|Universo final de articulos validos con existencia validada. Se usa para: INSERT en #temp_eComerceExportaArt; generacion de propiedades; configurables; cross-sell; up-sell.|Migrado|Implementado en EcommerceMethods.cs
#ArticulosPromocion|TEMPORAL (SELECT INTO)|articulo; SuperPromo; PrecioMapCIva|Articulos en promocion. Se obtiene de #Listadoarticulos JOIN PropreListaDFinal donde UEN=1 y Oferta=S. SuperPromo=1 cuando campo SuperPromo=S. PrecioMapCIva viene de PlaneadorMacroMAVIJOB.|Identifica articulos en oferta y superpromocion para categorizacion especial y calculo de precios de referencia.|Migrado|Implementado en EcommerceMethods.cs
#Superpromo|TEMPORAL (SELECT INTO)|articulo; SuperPromo; preciomayor; RutaCat|Articulos en superpromocion. Se toma el MAX entre PrecioMapCIva y PrecioRef de condicion 'Contado / Apartado MA TC P UNI'. RutaCat fijo: 'Default Category/PROMOCIONES/PROMOCIONES MA'.|Agrega la ruta de categoria de superpromocion a los articulos que aplican. Se concatena con las categorias normales en #FamLinCat.|Migrado|Implementado en EcommerceMethods.cs
#CarruselCategoria|TEMPORAL (CREATE TABLE)|ID INT; MultipleCategoria BIT; NumeroCategorias INT; Articulo VARCHAR(20); Categoria VARCHAR(max)|Categorias de carrusel para los articulos. Se obtiene de COMSDSIPCarrusel JOIN COMSCSIPCategorias (UEN=1). Se concatenan multiples categorias por articulo usando un WHILE loop. Ruta: Default Category/CARRUSELES/MA/[Categoria].|Agrega rutas de carrusel a las categorias del articulo. Se concatena en #FamLinCat y se usa para actualizar/remover categorias de carrusel en articulos sin existencia.|Migrado|Implementado en EcommerceMethods.cs
#Hallazgos|TEMPORAL (CREATE TABLE)|ID INT IDENTITY; Articulo VARCHAR(20)|Articulos que tienen mas de una categoria de carrusel asociada. Se usa como auxiliar para el WHILE loop que concatena las categorias.|Tabla auxiliar para iterar y concatenar multiples categorias de carrusel por articulo.|Migrado|Implementado en EcommerceMethods.cs
#precio_propre|TEMPORAL (SELECT INTO)|Articulo; Familia; PrecioRef; Precio; precsuc90; Sucursal|Precios de contado por articulo. Se obtiene de #Listadoarticulos LEFT JOIN PropreListaDFinal con condicion='Contado / Apartado MA' y UEN=1. precsuc90 es el precio cuando Sucursal=90.|Precios base de contado por sucursal. Se usa para derivar #precioart.|Migrado|Implementado en EcommerceMethods.cs
#precioart|TEMPORAL (SELECT INTO)|articulo; Familia; precioref; precio; precsuc90; Sucursal|Consolidacion de precios de #precio_propre. UNION de precios minimos de contado con precios minimos de sucursal 90.|Precios consolidados por articulo. Se usa para derivar #precio_precioesp90 y #precio_precioesp0.|Migrado|Implementado en EcommerceMethods.cs
#PorcSobrePrecio|TEMPORAL (SELECT INTO)|Tipo; Familia; Porcentaje; uen|Porcentajes sobre precio desde eCommercePorcSobrePrecio (UEN=1). Maneja dos tipos: NORMAL (ref=2) y PROGRAMADO (ref=1 con rango de fechas). Se toma orden=1 (prioridad a PROGRAMADO si esta vigente).|Porcentajes de sobreprecio para calcular precios de referencia. Define el precio mostrado vs precio especial.|Migrado|Implementado en EcommerceMethods.cs
#precio_precioesp90|TEMPORAL (SELECT INTO)|ROW; Articulo; Sucursal; precio; precioespecial; Oferta|Precios de articulos en sucursal 90. precio = MAX entre PrecioMapCIva y precio contado. precioespecial = precio contado cuando PrecioMapCIva > precio. Oferta=1 cuando PrecioRef > precio y PrecioRef > 0; se ajusta a 0 si PrecioMapCIva = precio.|Precios con precio especial (oferta) para sucursal 90. Se usa en la union para #precio_precioesp.|Migrado|Implementado en EcommerceMethods.cs
#precio_precioesp0|TEMPORAL (SELECT INTO)|ROW; Articulo; Sucursal; precio; precioespecial; Oferta|Precios de articulos en sucursal 0 que NO existen en sucursal 90. Misma logica de precio/precioespecial que #precio_precioesp90.|Precios con precio especial para sucursal 0 (complemento de suc 90). Se usa en la union para #precio_precioesp.|Migrado|Implementado en EcommerceMethods.cs
#precio_precioesp|TEMPORAL (SELECT INTO)|Articulo; Sucursal; Precio; precioespecial; oferta|Union de #precio_precioesp90 (ROW=1) y #precio_precioesp0 (ROW=1). Un solo registro por articulo con el precio definitivo.|Precio final por articulo: precio de venta y precio especial (oferta). Se usa en el INSERT principal a #temp_eComerceExportaArt; en excluidos; en control de categoria y en updates a eComerceExportaArt.|Migrado|Implementado en EcommerceMethods.cs
#propsgeneral|TEMPORAL (SELECT INTO)|Articulo; Propiedad; Valor; NombreSet; nvalor|Propiedades generales de articulos: MARCA (para no-muebles); OPERADORA (celulares con sublinea); Product_Control (true/false desde VTASCProductoControl). JOIN con eCommerceSetPropiedades para obtener NombreSet.|Propiedades que no vienen del SIP sino de logica general del negocio. Se combinan con propiedades SIP en #artprops.|Migrado|Implementado en EcommerceMethods.cs
#artprops|TEMPORAL (SELECT INTO)|Articulo; Propiedad; NombreSet; valor; nvalor; nprop; PropiedadSIP; origen|Todas las propiedades de los articulos combinadas: SIP (items_propiedad + familia_propiedad + eCommerceSetPropiedades + catalogo_propiedad con AtributoMagento) y generales (#propsgeneral). Se valida contra TcWDM0285_AtributosdeMagento y TcWDM0285_AtribMgtoValorLista. Incluye logica especial para color_filtro y color. Se agregan propiedades de color omitiendo regla de valores de lista cuando tiene color_filtro.|Tabla central de propiedades por articulo. Se usa para: generar #SETprop (additional_attributes); validar total de propiedades (Totprops>=1); configurables (#PropConfig); category_control; color_filtro.|Migrado|Implementado en EcommerceMethods.cs
#SETprop|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(25); NombreSet VARCHAR(50); SetProp VARCHAR(max)|Propiedades concatenadas por articulo en formato Magento (propiedad=valor;propiedad=valor...). Se genera via SQL dinamico (EXEC) que pivota y concatena las propiedades de #artprops.|additional_attributes del CSV. Se actualiza con category_control=true/false. Se usa en el INSERT principal a #temp_eComerceExportaArt.|Migrado|Implementado en EcommerceMethods.cs
#categ|TEMPORAL (SELECT INTO)|Articulo; LinIntelisis; ruta|Categorias de Magento por articulo. Se obtiene de eCommerceRelCatMagentoIntelisis (UEN=1) JOIN con #Listadoarticulos. Maneja lineas virtuales via eCommerceIntNivelVirtual y Prop (SUBLINEA).|Rutas de categorias por articulo. Se transforma en #categFinal para concatenar multiples categorias.|Migrado|Implementado en EcommerceMethods.cs
#categFinal|TEMPORAL (SELECT INTO)|Articulo; Ruta; ncat|Categorias finales con numeracion (ROW_NUMBER). Incluye union de: categorias de segundo nivel (para articulos con oferta) y todas las categorias normales de #categ.|Categorias numeradas para concatenacion. Se usa via SQL dinamico para generar #FamLinCat.|Migrado|Implementado en EcommerceMethods.cs
#FamLinCat|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(20); Categorias VARCHAR(max)|Categorias concatenadas finales por articulo. Se genera via SQL dinamico (EXEC) que pivota y concatena las rutas de #categFinal. Incluye concatenacion de #Superpromo.RutaCat y #CarruselCategoria.Categoria.|Campo categories del CSV. Se usa en el INSERT principal y en actualizaciones de categorias para articulos sin existencia.|Migrado|Implementado en EcommerceMethods.cs
#controlcategoria|TEMPORAL (SELECT INTO)|Precio; Ruta; nivel; id|Categorias de control de precio alto. Se obtiene de VTASCCategoriasControl JOIN eCommerceCatMagento JOIN eCommerceRelCatMagentoIntelisis (UEN=2).|Identifica categorias donde los articulos superan cierto precio para marcarlos como category_control=true.|No Migrado|No se encontro implementacion en C#
#controlcategoriafinal|TEMPORAL (SELECT INTO)|Articulo (DISTINCT)|Articulos finales que aplican para category_control=true. Se determina comparando el precio del articulo (#precio_precioesp) contra el precio de la categoria (#controlcategoria). El articulo debe tener el atributo category_control en su NombreSet (TcWDM0285_AtributosdeMagento).|Lista definitiva de articulos con category_control=true. Se usa para UPDATE a #SETprop y a eComerceExportaArt (hijos configurables).|No Migrado|No se encontro implementacion en C#
#sinsetocat|TEMPORAL (SELECT INTO)|articulo|Articulos que son parte de paquetes/juegos (ARTJUEGO/ARTJUEGOD) pero no tienen categoria (#FamLinCat) o propiedades (#SETprop). Se detectan como opcion de juegos existentes en #articulos.|Se TRUNCA inmediatamente (linea 2506) porque no se envian paquetes. Originalmente permitia enviar articulos sin set o categoria si eran parte de un juego.|No Migrado|No se encontro implementacion en C#
#excluidos|TEMPORAL (SELECT INTO)|sku; qty; Descripcion1; Estatus; familia; linea; IE|Articulos que estan activos en eComerceExportaArt (product_online=1; muebles_america; simple) pero NO aparecen en #temp_eComerceExportaArt (ya no califican). Incluye propiedad IE para distinguir Import Elite.|Se usa para: poner qty=0 y product_online=2 (o 1 si tiene BackOrder); remover categorias de carrusel; desactivar articulos que ya no cumplen requisitos.|No Migrado|No se encontro implementacion en C#
#exc_conexist|TEMPORAL (SELECT INTO)|sku|Subconjunto de #excluidos que AUN tienen existencia segun las reglas (existencia96Tot; Sucs_local). Considera las mismas reglas que #articulos pero usando la tabla eCommerceExist directamente.|Articulos excluidos que tienen existencia. Si ce.sku IS NOT NULL -> se desactivan completamente (product_online=2). Si ce.sku IS NULL -> se ponen como agotados (qty=0; product_online depende de BackOrder).|No Migrado|No se encontro implementacion en C#
#artsvisibles|TEMPORAL (CREATE TABLE)|id INT IDENTITY; articulo VARCHAR(20); familia VARCHAR(100); linea VARCHAR(100); preciocontado MONEY|Articulos visibles en la tienda (product_online=1; muebles_america; simple; con existencia en #articulos). Precio es special_price si vigente; sino price. Se ordenan aleatoriamente (NEWID).|Base para calcular Up-Sell y Cross-Sell. Contiene articulos activos con su precio efectivo.|No Migrado|No se encontro implementacion en C#
#ArticulosUpsell|TEMPORAL (CREATE TABLE)|id INT; articulo VARCHAR(20); familia VARCHAR(100); linea VARCHAR(100); preciocontado MONEY; upsale VARCHAR(20); precioupsale MONEY; orden INT|Upsells regla 1: articulos relacionados de la misma familia+linea con precio MAYOR al articulo principal. ROW_NUMBER particionado por articulo; ordenado por precio ascendente. Hasta 8 upsales.|Se insertan en eComerceMarketing (TipoRelacion=Upsale; UEN=1). Se concatenan hasta 8 SKUs separados por coma.|Migrado|Implementado en EcommerceMethods.cs
#ArticulosUpsell2|TEMPORAL (CREATE TABLE)|id INT; articulo VARCHAR(20); familia VARCHAR(100); linea VARCHAR(100); preciocontado MONEY; upsale VARCHAR(20); precioupsale MONEY; orden INT|Upsells regla 2: articulos de la misma familia+linea con precio MENOR. Solo para articulos que NO tienen upsales de regla 1. Hasta 2 upsales.|Complementa upsales para articulos sin alternativas de mayor precio. Se insertan en eComerceMarketing.|Migrado|Implementado en EcommerceMethods.cs
#ArticulosCrossP|TEMPORAL (CREATE TABLE)|articulo VARCHAR(25); familia VARCHAR(50); linea VARCHAR(50); cantidad INT; precio MONEY|Cross-Sell padres: articulos con relaciones de familia-linea configuradas en eCommerceLineasRelacion. Precio es special_price si vigente; sino price.|Define las relaciones padre-hijo para cross-sell segun configuracion de familias y lineas relacionadas.|Migrado|Implementado en EcommerceMethods.cs
#ArticulosCrossF|TEMPORAL (CREATE TABLE)|articulo VARCHAR(25); preciop MONEY; relacionado VARCHAR(25); precior MONEY; familia VARCHAR(50); linea VARCHAR(50); cantidad INT; orden INT|Cross-Sell generales: todos los articulos relacionados con su precio. ROW_NUMBER particionado por articulo+familia+linea. Relaciona #ArticulosCrossP con #articulos de la familia-linea relacionada.|Todos los candidatos a cross-sell con orden. Se filtra despues segun numero de familias-lineas y rango de precios.|Migrado|Implementado en EcommerceMethods.cs
#ArticulosCrossH|TEMPORAL (CREATE TABLE)|articulo VARCHAR(25); preciop MONEY; relacionado VARCHAR(25); precior MONEY; familia VARCHAR(50); linea VARCHAR(50); cantidad INT; orden INT|Cross-Sell dentro del rango de precios: re-numeracion de #ArticulosCrossF por articulo+familia+linea.|Cross-sell filtrado por precio. Se usa para determinar cuantos cross-sell tomar segun numero de familias-lineas relacionadas.|Migrado|Implementado en EcommerceMethods.cs
#ArtFamLin|TEMPORAL (CREATE TABLE)|articulo VARCHAR(25); Familia VARCHAR(50); Linea VARCHAR(50)|Familias-Lineas distintas por articulo en cross-sell. Se llena de #ArticulosCrossH.|Auxiliar para contar cuantas familias-lineas distintas tiene cada articulo en cross-sell (1; 2 o >=3).|Migrado|Implementado en EcommerceMethods.cs
#ArtCrossEsp|TEMPORAL (CREATE TABLE)|Articulo VARCHAR(25); Relacionado VARCHAR(25); Familia VARCHAR(50); Linea VARCHAR(50); Orden INT|Cross-Sell especificos finales. Se llena con: 3 arts si 1 familia-linea; 1 por familia-linea si 2; TOP 3 si >=3. Tambien incluye arts fuera del rango de precios (1 con precio menor y 1 con precio mayor).|Cross-sell definitivos. Se insertan en eComerceMarketing (TipoRelacion=Related; UEN=1). Se concatenan hasta 3 SKUs. Se actualizan related_skus y crosssell_skus en eComerceExportaArt.|Migrado|Implementado en EcommerceMethods.cs
#ArtFamLin1|TEMPORAL (CREATE TABLE)|Id INT IDENTITY; Articulo VARCHAR(25)|Articulos con exactamente 2 familias-lineas en cross-sell. Se usa para iterar en WHILE loop y tomar 1 articulo por familia-linea (2 total).|Auxiliar para el WHILE loop de cross-sell con 2 relaciones de familia-linea.|Migrado|Implementado en EcommerceMethods.cs
#ArtFamLin2|TEMPORAL (CREATE TABLE)|Id INT IDENTITY; Articulo VARCHAR(25)|Articulos con 3 o mas familias-lineas en cross-sell. Se usa para iterar en WHILE loop y tomar TOP 3.|Auxiliar para el WHILE loop de cross-sell con 3+ relaciones de familia-linea.|Migrado|Implementado en EcommerceMethods.cs
#configurables|TEMPORAL (SELECT INTO)|sku; Familia; Linea; Alta; Fabricante; price; qty; MarcaE; LineaE; ModeloE; PropArt; Propiedad (ModeloE); ArticuloPadre ('1'+ArticuloPadre de VTASRConfigurablesFamLineaProp); Talla; Orden (ROW_NUMBER); indice (DENSE_RANK)|Articulos configurables. Se obtiene de eComerceExportaArt (product_online=1; muebles_america) JOIN Art JOIN VTASRConfigurablesFamLineaProp (Activo=1) por Familia+Linea+Fabricante+Modelo. Se eliminan: region R6 celulares; padres con menos de 2 hijos; sin propiedad configurable. PropArt se actualiza con valor de #PropNombreConf.|Define los grupos de productos configurables con sus hijos. Se usa para generar #configvariat; #SKUprops; #ArticuloPadre.|No Migrado|No se encontro implementacion en C#
#PropNombreConf|TEMPORAL (CREATE TABLE)|FamiliaIntelisis VARCHAR(50); PropiedadIntelisis VARCHAR(50)|Propiedades para nombrar configurables. Se obtiene de TablaStd con TablaSt=PropiedadParaNombreConfigurable.|Mapeo familia->propiedad para construir el nombre del articulo padre configurable (ejemplo: marca+modelo+propiedad).|No Migrado|No se encontro implementacion en C#
#PropConfig|TEMPORAL (SELECT INTO)|SKU; Propiedad|Propiedades configurables por SKU hijo. Se obtiene de #configurables JOIN VTASRAgrupaFamLineaProp (Activo=1) JOIN VTASDAgrupaFamLineaPropConf JOIN #artprops.|Identifica que propiedades hacen configurable a cada hijo. Se usa para separar PropConfig (configurable) de SetProp (no configurable) en #SKUprops.|No Migrado|No se encontro implementacion en C#
#SKUprops|TEMPORAL (CREATE TABLE)|SKU VARCHAR(25); NombreSet VARCHAR(50); SetProp VARCHAR(max); PropConfig VARCHAR(max)|Propiedades de cada SKU hijo separadas en: SetProp (propiedades NO configurables) y PropConfig (propiedades configurables ej: color; talla). Se genera via SQL dinamico (EXEC).|SetProp -> additional_attributes del hijo (visibility=Not Visible Individually). PropConfig -> se usa para configurable_variations del padre.|No Migrado|No se encontro implementacion en C#
#configvariat|TEMPORAL (CREATE TABLE)|ArticuloPadre VARCHAR(25); SetPropHijos VARCHAR(max)|Variaciones configurables concatenadas. Formato: sku=SKU1;prop1=val1;prop2=val2 PIPE sku=SKU2;prop1=val1... Se genera via SQL dinamico (EXEC).|Campo configurable_variations del articulo padre. Contiene todos los hijos con sus propiedades configurables separados por pipes.|No Migrado|No se encontro implementacion en C#
#ArticuloPadre|TEMPORAL (SELECT INTO)|sku (ArticuloPadre); attribute_set_code; product_type=configurable; categories; product_websites; name (MarcaE+LineaE+ModeloE); description; weight=vacio; product_online; tax_class_name; visibility=catalog search; price; special_price; special_price_from/to_date; price_installments/twelve/eighteen; url_key; base/small/thumbnail_image; additional_attributes (SetProp); qty=0; configurable_variations (SetPropHijos); bundle_*; meta_*; oferta; ahorro_cotorro; exclusivo_online; descuento; related/crosssell/upsell_skus; ref_hijo; familia; MarcaE; LineaE; ModeloE; linea; PropArt|Articulo padre configurable final. Se toma del hijo primario (ROW_NUMBER por Talla ASC; Price ASC; Alta ASC; qty DESC donde qty>0). Hereda precios; categorias; meta del hijo primario.|Se usa para INSERT/UPDATE en eComerceExportaArt como product_type=configurable. Los hijos se actualizan con visibility=Not Visible Individually.|No Migrado|No se encontro implementacion en C#
#ListaDePrioridad|TEMPORAL (SELECT INTO)|Familia; Linea; Codigo; Orden|Listas de prioridad para ordenamiento. Se obtiene de COMSCListaPrioridadEcommerce JOIN COMSDListaPrioridad donde FechaInicio<=hoy<=FechaFin y UEN=1. Orden se recalcula con ROW_NUMBER particionado por Familia+Linea.|Define el orden de prioridad por codigo de articulo dentro de familia-linea. Se usa en el posicionamiento final.|No Migrado|No se encontro implementacion en C#
#TempTop10|TEMPORAL (SELECT INTO)|Articulo; Totart; familia; linea; Row1|Top 10 articulos mas vendidos en los ultimos 30 dias por familia-linea. Se obtiene de Venta (UEN=1; FACTURA; CONCLUIDO; FechaEmision > -30 dias) JOIN VentaD JOIN eComerceExportaArt (activo; con existencia) JOIN Art. Solo se crea en temporada normal (no especial).|Se usa en el posicionamiento: los articulos del top 10 obtienen prioridad en el ordenamiento dentro de temporada normal.|No Migrado|No se encontro implementacion en C#
#posicionamiento|TEMPORAL (CREATE TABLE)|sku VARCHAR(25); posicion INT|Posicion final de cada articulo en la tienda. TEMPORADA NORMAL: ROW_NUMBER ORDER BY product_online ASC; p (agotado) ASC; esPrioridad DESC; esTop DESC; price ASC. TEMPORADA ESPECIAL: ROW_NUMBER ORDER BY product_online ASC; p ASC; esPrioridad DESC; oferta DESC; Descuento DESC; price ASC.|Se actualiza el campo position en eComerceExportaArt. Determina el orden de aparicion de los productos en la pagina web.|Migrado|Implementado en EcommerceMethods.cs
#Region6_ECOMERCEEXPORTAART|TEMPORAL (SELECT INTO)|sku|Articulos con region R6 (tipo=region) y LineaE=CELULAR. Se obtiene de eComerceExportaArt JOIN prop JOIN art.|Se usa para desactivar (product_online=2) articulos de celulares con region 6 en eComerceExportaArt.|No Migrado|No se encontro implementacion en C#
